ID,ON,AREA,ADDRESS,STREET,SITE,SIDE,ASSIGNED,COMMON,BOTANICAL,CULTIVAR,DBH,REMOVAL,STEMS,COND,MAINTPRIM,OBSERVE,INSPECT,LOCATION,NOTES,DATE,TIME,STAFF,XCOORD,YCOORD,FAILURE,LIKELIHOOD,TARGET,CONSEQ,RISK,UNIQUEID,EDITTIME,SPREAD,HEIGHT,CLEARANCE,DECAYCL,DECAYT,DECAYRF,DAMC,DAMT,DAMRF,CAVITYCL,CAVITYT,CAVITYRF,IMPROPMULC,IMPROPPRUN,NUTRIENTD,PEST,GIRDLING,STRESS,OHUTILITY,TOP_HEIGHT,CROWN_M,CROWN_DIE
11.00000,Elan Park,Elan Park,"2",Blue Hen Rg,11.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,15.00000,N/A,2.00000,Good,N/A,None,False,Park,,9/29/2015,2:12:18 PM,LM,553199.23595,611651.08843,Possible,Unlikely,Medium,Minor,Low,LM 20150929141218,9/29/2015 2:12:18 PM,"16","40",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"40",0-5%,0-5%
12.00000,Elan Park,Elan Park,"2",Blue Hen Rg,12.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,11.00000,N/A,1.00000,Very Good,N/A,None,False,Park,,9/29/2015,2:14:17 PM,LM,553196.93222,611651.08843,Improbable,Unlikely,Medium,Significant,Low,LM 20150929141418,9/29/2015 2:14:18 PM,"15","40",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"41",0-5%,0-5%
13.00000,Elan Park,Elan Park,"2",Blue Hen Rg,13.00000,Front,False,"pine, eastern white",Pinus strobus,,22.00000,N/A,1.00000,Good,N/A,None,False,Park,,9/29/2015,2:18:44 PM,LM,553191.55687,611654.16006,Possible,Unlikely,Medium,Significant,Low,LM 20150929141844,9/29/2015 2:18:44 PM,"35","54",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"54",0-5%,6-10%
14.00000,Elan Park,Elan Park,"2",Blue Hen Rg,14.00000,Front,False,"whitecedar, Atlantic",Chamaecyparis thyoides,,29.00000,N/A,2.00000,Fair,N/A,None,False,Park,,9/29/2015,2:24:24 PM,LM,553182.34197,611654.92797,Probable,Somewhat Likely,Medium,Negligible,Low,LM 20150929142424,9/29/2015 2:32:39 PM,"20","56",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"57",11-15%,26-30%
15.00000,Elan Park,Elan Park,"2",Blue Hen Rg,15.00000,Front,False,"whitecedar, Atlantic",Chamaecyparis thyoides,,27.00000,N/A,2.00000,Fair,N/A,None,False,Park,codominant leaders,9/29/2015,2:30:18 PM,LM,553166.98381,611654.92797,Possible,Unlikely,Medium,Significant,Low,LM 20150929143018,9/29/2015 2:30:18 PM,"22","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"55",11-15%,21-25%
16.00000,Elan Park,Elan Park,"2",Blue Hen Rg,16.00000,Front,False,"pine, eastern white",Pinus strobus,,24.00000,N/A,2.00000,Fair,N/A,None,False,Park,,9/29/2015,2:33:51 PM,LM,553156.23310,611655.69588,Probable,Somewhat Likely,Medium,Negligible,Low,LM 20150929143352,9/29/2015 2:33:52 PM,"30","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"55",6-10%,16-20%
17.00000,Elan Park,Elan Park,"2",Blue Hen Rg,17.00000,Front,False,"whitecedar, Atlantic",Chamaecyparis thyoides,,27.00000,N/A,1.00000,Fair,N/A,None,False,Park,codominant leaders,9/29/2015,2:39:05 PM,LM,553150.85774,611662.60705,Possible,Unlikely,Medium,Significant,Low,LM 20150929143905,9/29/2015 2:41:21 PM,"25","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"55",21-25%,31-35%
18.00000,Elan Park,Elan Park,"2",Blue Hen Rg,18.00000,Front,False,"pine, eastern white",Pinus strobus,,17.00000,N/A,1.00000,Fair,N/A,None,False,Park,,9/29/2015,2:41:55 PM,LM,553140.87493,611651.85634,Improbable,Unlikely,Medium,Significant,Low,LM 20150929144155,9/29/2015 2:41:55 PM,"22","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"55",11-15%,11-15%
19.00000,Elan Park,Elan Park,"2",Blue Hen Rg,19.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,18.00000,N/A,1.00000,Fair,N/A,None,False,Park,,9/29/2015,2:44:37 PM,LM,553140.10703,611662.60705,Possible,Unlikely,Medium,Significant,Low,LM 20150929144438,9/29/2015 2:44:38 PM,"20","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"56",11-15%,16-20%
20.00000,Elan Park,Elan Park,"2",Blue Hen Rg,20.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,24.00000,N/A,2.00000,Fair,N/A,None,False,Park,codominant leaders,9/29/2015,2:46:01 PM,LM,553129.35631,611657.23169,Possible,Unlikely,Medium,Significant,Low,LM 20150929144602,10/15/2015 6:14:59 PM,"20","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"55",6-10%,11-15%
21.00000,Elan Park,Elan Park,"2",Blue Hen Rg,21.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,13.00000,N/A,1.00000,Good,N/A,None,False,Park,,9/29/2015,2:48:17 PM,LM,553114.76606,611662.60705,Improbable,Unlikely,Medium,Significant,Low,LM 20150929144817,9/29/2015 2:48:17 PM,"20","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"55",6-10%,6-10%
22.00000,Elan Park,Elan Park,"2",Blue Hen Rg,22.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,20.00000,N/A,2.00000,Fair,N/A,None,False,Park,,9/29/2015,2:49:50 PM,LM,553103.24744,611664.91078,Possible,Unlikely,Medium,Significant,Low,LM 20150929144951,9/29/2015 2:49:51 PM,"25","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"55",6-10%,6-10%
23.00000,Elan Park,Elan Park,"2",Blue Hen Rg,23.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,23.00000,N/A,2.00000,Fair,N/A,None,False,Park,codominant leaders,9/29/2015,2:52:26 PM,LM,553091.72882,611666.44659,Possible,Unlikely,Medium,Significant,Low,LM 20150929145226,9/29/2015 2:52:26 PM,"25","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"55",6-10%,6-10%
24.00000,Elan Park,Elan Park,"2",Blue Hen Rg,24.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,24.00000,N/A,1.00000,Fair,N/A,None,False,Park,codominant leaders,9/29/2015,2:54:25 PM,LM,553077.13856,611671.05404,Possible,Unlikely,Medium,Significant,Low,LM 20150929145426,9/29/2015 2:54:26 PM,"25","55",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"55",6-10%,11-15%
25.00000,Elan Park,Elan Park,"2",Blue Hen Rg,25.00000,Front,False,"pine, eastern white",Pinus strobus,,20.00000,N/A,1.00000,Very Good,N/A,None,False,Park,,9/29/2015,3:05:10 PM,LM,553117.83769,611620.37211,Possible,Unlikely,Medium,Significant,Low,LM 20150929150510,9/29/2015 3:05:10 PM,"40","39",None,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,No,"39",0-5%,0-5%
1.00000,Elan Park,Elan Park,"2",Blue Hen Rg,1.00000,Front,False,"locust, black",Robinia pseudoacacia,,25.00000,Complete,2.00000,Poor,N/A,None,False,Park,cable and brace,9/29/2015,1:13:10 PM,LM,553188.98217,611480.20290,Probable,Somewhat Likely,Medium,Significant,Moderate,LM 20150929131426,11/19/2015 6:52:15 PM,"34","43",None,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,No,"39",51-55%,46-50%
2.00000,Elan Park,Elan Park,"2",Blue Hen Rg,2.00000,Front,False,"elm, Chinese",Ulmus parvifolia,,12.00000,N/A,1.00000,Good,N/A,None,False,Park,,9/29/2015,1:23:29 PM,LM,553196.93222,611581.97670,Possible,Unlikely,Medium,Minor,Low,LM 20150929132329,9/29/2015 1:23:29 PM,"30","37",None,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,No,"37",0-5%,0-5%
3.00000,Elan Park,Elan Park,"2",Blue Hen Rg,3.00000,Front,False,"sweetgum, American",Liquidambar styraciflua,,20.00000,N/A,1.00000,Good,N/A,None,False,Park,,9/29/2015,1:33:07 PM,LM,553302.13563,611640.33772,Probable,Somewhat Likely,Medium,Negligible,Low,LM 20150929133307,9/29/2015 1:33:07 PM,"25","77",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"77",6-10%,0-5%
4.00000,Elan Park,Elan Park,"2",Blue Hen Rg,4.00000,Front,False,"maple, sugar",Acer saccharum,,44.00000,N/A,1.00000,Fair,N/A,None,False,Park,poor root system,9/29/2015,1:39:18 PM,LM,553304.43936,611664.91078,Probable,Somewhat Likely,Medium,Significant,Moderate,LM 20150929133918,9/29/2015 1:39:18 PM,"70","71",None,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"71",11-15%,11-15%
5.00000,Elan Park,Elan Park,"2",Blue Hen Rg,5.00000,Front,False,"maple, sugar",Acer saccharum,,25.00000,N/A,1.00000,Fair,N/A,None,False,Park,,9/29/2015,1:47:23 PM,LM,553317.49379,611602.71022,Possible,Unlikely,Medium,Severe,Low,LM 20150929134724,9/29/2015 1:47:24 PM,"60","68",None,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,No,"68",6-10%,11-15%
6.00000,Elan Park,Elan Park,"2",Blue Hen Rg,6.00000,Front,False,tuliptree,Liriodendron tulipifera,,32.00000,N/A,1.00000,Fair,N/A,None,False,Park,,9/29/2015,1:56:03 PM,LM,553332.08405,611641.87353,Possible,Unlikely,Medium,Severe,Low,LM 20150929135604,9/29/2015 1:59:51 PM,"50","80",None,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,No,"80",11-15%,6-10%
7.00000,Elan Park,Elan Park,"2",Blue Hen Rg,7.00000,Front,False,"arborvitae, eastern",Thuja occidentalis,,8.00000,N/A,1.00000,Good,N/A,None,False,Park,,9/29/2015,2:01:15 PM,LM,553225.34482,611648.01680,Improbable,Unlikely,Medium,Minor,Low,LM 20150929140115,9/29/2015 2:11:00 PM,"15","25",None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,No,"25",0-5%,0-5%
